10000.wav,ih_z_m_ay_b_eh_k_iy_g_ow_ih_ng_t_uw_s_l_iy_p_ao_l_d_ey
10001.wav,hh_iy_s_t_uh_d_b_ih_f_ao_r_dh_ah_w_ay_d_ow_p_ah_n_ih_ng
10002.wav,w_iy_sh_ae_l_b_ih_g_ih_n_aw_er_r_iy_s_er_ch_ih_z_hh_iy_r
10003.wav,w_ih_dh_hh_ih_z_y_uw_zh_ah_w_ah_l_k_r_ey_v_ih_ng_aa_n_hh_ih_m
10004.wav,b_ah_t_dh_ih_s_l_ih_t_ah_l_l_ay_n_ah_v_d_ae_n_s_ih_n_g_m_eh_n
10005.wav,s_eh_d_m_aa_r_ih_l_ah_s_k_eh_p_t_ih_k_ah_l_iy
10006.wav,m_ao_r_p_r_aa_b_ah_b_l_iy_ah_w_iy_k_ae_f_t_er_w_er_d_z
10007.wav,sh_ow_l_d_er_ih_ng_dh_ah_r_ih_jh_oy_n_d_er_ae_t_hh_ih_m
10008.wav,g_aa_d_f_r_iy_hh_ae_z_ah_p_t_uw_n_aw_s_ah_k_s_iy_d_ah_d
10009.wav,t_w_ay_s_s_m_iy_b_iy_t_ah_p_aa_n_dh_iy_ih_n_s_t_r_ah_m_ah_n_t
10010.wav,dh_eh_r_ey_n_t_n_ow_m_ih_s_t_ey_k_ah_b_aw_t_ih_t_
10011.wav,ae_z_m_ay_b_r_ah_dh_er_s_aa_l_ah_m_ah_n_y_uw_z_d_t_uw_s_ey
10012.wav,ah_n_d_w_ah_t_m_ey_s_ow_b_ow_l_d_ah_hh_ah_n_t_er_k_ih_l
10013.wav,ah_n_d_hh_ih_z_hh_aa_r_t_g_r_uw_hh_eh_v_iy_er_ah_g_eh_n
10014.wav,hh_iy_w_aa_z_ao_l_w_ey_z_jh_ah_s_t_dh_ae_t_p_er_t_ih_k_y_ah_l_er
10015.wav,ay_k_w_ay_t_f_er_g_aa_t_y_uw_d_ih_d_ah_n_t_l_ay_k_k_ae_t_s
10016.wav,hh_ih_z_b_ow_n_iy_aa_r_m_k_l_ae_s_p_t_r_aw_n_d_m_ay_n_eh_k
10017.wav,ay_th_ih_ng_k_y_uw_ao_t_t_uw_l_eh_t_ae_n_g_ow
10018.wav,g_ih_v_m_iy_p_er_m_ih_sh_ah_n_t_uw_k_ah_m_w_ih_dh_y_uw
10019.wav,ah_n_d_dh_ey_k_ao_l_d_m_iy_m_ow_s_t_iy_v_ah_l_n_ey_m_z
10020.wav,ah_n_d_sh_iy_m_uw_v_d_t_ah_w_ao_r_d_d_aa_r_z_iy_z_w_ay_f
10021.wav,ae_n_ih_n_v_ey_d_ih_ng_ah_n_d_v_eh_n_jh_f_ah_l_r_ah_sh_w_ih_ch
10022.wav,ah_n_d_ih_t_ih_z_ah_l_ao_ng_d_r_ay_v_t_uw_hh_ae_m_p_s_t_eh_d
10023.wav,ae_t_l_ae_s_t_t_aa_m_r_ow_z_s_l_ow_l_iy_ah_n_d_s_ao_f_t_l_iy
10024.wav,ay_d_uw_w_ih_sh_p_iy_t_er_w_uh_d_k_ah_m_b_ae_k
10025.wav,ay_w_aa_z_n_aa_t_ah_sh_uw_m_ey_k_er_b_ay_t_r_ey_d
10026.wav,f_aa_r_ah_n_d_w_ay_d_l_ey_ah_r_uw_ah_n_d_k_ah_n_t_r_iy
10027.wav,b_eh_r_iy_ih_ng_hh_er_f_ey_s_ih_n_m_aa_r_ih_l_ah_z_l_ae_p
10028.wav,w_eh_n_ao_l_n_ey_ch_er_ih_z_p_ih_k_y_uw_l_y_er_l_iy_k_w_ay_ah_t
10029.wav,b_ih_t_er_hh_aw_l_z_f_r_ah_m_dh_ah_y_ah_ng_w_uh_l_v_z
10030.wav,n_ay_n_l_ao_g_z_w_aa_z_ih_n_ah_f_f_ao_r_w_ah_n_t_ay_m
10031.wav,s_ow_f_aa_r_ae_z_jh_ao_r_jh_ah_n_d_ay_k_uh_d_jh_ah_jh
10032.wav,ae_z_dh_ey_l_uh_k_t_ih_n_ae_t_eh_v_er_iy_p_l_ey_s
10033.wav,y_uw_f_ih_k_s_ay_er_n_hh_uw_p_s_ah_p_ow_v_er_dh_ah_b_ow_t
10034.wav,ah_n_d_s_ow_ao_l_dh_ah_ch_ih_l_d_r_ah_n_f_l_uw_ah_w_ey
10035.wav,ay_ae_m_ae_ng_k_sh_ah_s_t_uw_hh_ae_v_y_ao_r_ah_p_ih_n_y_ah_n
10036.wav,ay_l_t_r_ay_ih_t_w_eh_n_ay_g_ow_hh_ow_m
10037.wav,ih_f_y_uw_ih_k_s_p_eh_k_t_m_iy_t_uw_b_iy_s_er_p_r_ay_z_d
10038.wav,ah_n_d_iy_v_ih_n_th_r_iy_jh_eh_n_t_ah_l_m_ih_n_ih_n_w_ah_n_b_eh_d
10039.wav,ah_n_d_s_ow_w_iy_w_uh_d_l_ey_ih_n_aa_m_b_uw_s_k_ey_d
10040.wav,ah_v_dh_ah_r_oy_ah_l_hh_ey_m_aa_r_k_ih_t_th_iy_ah_t_er
10041.wav,n_ow_l_ao_ng_g_er_v_iy_t_ow_d_ao_k_ey_zh_ah_n_ah_l_aw_t_ih_ng_z
10042.wav,n_aa_t_ah_n_t_ih_l_ay_hh_ae_v_b_ih_n_t_uw_b_l_ae_k_hh_iy_th
10043.wav,p_ae_ch_ah_z_ah_v_p_uw_r_p_iy_z_ah_n_d_b_iy_n_z
10044.wav,t_aa_m_s_ao_y_er_z_b_ae_n_d_ah_v_r_aa_b_er_z
10045.wav,ih_t_w_aa_z_ao_l_g_r_ae_s_k_l_ih_r_t_uw_dh_ah_k_ah_n_uw
10046.wav,y_uw_y_uw_aa_r_sh_uh_r_y_uw_n_ow_ah_l_aa_k
10047.wav,ae_z_dh_ae_t_b_ae_s_t_ih_l_p_ey_p_er_d_ih_s_k_r_ay_b_s
10048.wav,f_ao_r_s_t_ah_p_aa_n_dh_ah_p_r_ih_z_ah_n_er_ih_n_k_ow_ch_ih_z
10049.wav,b_ow_th_hh_eh_l_d_dh_eh_r_b_r_eh_th_ah_n_d_l_ih_s_ah_n_d
10050.wav,hh_iy_f_eh_l_t_hh_ih_z_iy_g_ow_s_l_ih_p_ih_ng_f_r_ah_m_hh_ih_m
10051.wav,dh_ey_w_er_ah_t_r_ae_k_t_ah_d_b_ay_dh_ih_s_ay_d_iy_ah
10052.wav,m_ay_r_eh_s_ah_t_ey_sh_ah_n_hh_ae_z_m_ey_d_y_uw_k_r_ay
10053.wav,ay_w_ih_sh_dh_ah_b_oy_z_k_uh_d_s_iy_ah_s_n_aw
10054.wav,ih_t_s_ae_z_g_uh_d_ae_z_ay_d_ih_z_er_v
10055.wav,ih_t_w_ih_l_b_iy_y_uw_s_f_ah_l_f_ao_r_hh_ih_z_aa_r_t_ah_k_ah_l
10056.wav,ae_g_r_ah_v_ey_t_ih_d_m_er_d_er_aa_n_ah_g_r_ey_t_s_k_ey_l
10057.wav,d_ow_n_t_t_ao_r_ch_er_ah_p_uw_r_f_er_l_ao_r_n_r_eh_ch
10058.wav,jh_ae_m_t_uw_m_aa_r_ow_ah_n_d_jh_ae_m_y_eh_s_t_er_d_ey
10059.wav,ah_n_d_w_iy_n_ae_ch_er_ah_l_iy_b_ih_g_ae_n_ch_ae_t_ih_ng
10060.wav,dh_ah_f_aw_l_m_aw_dh_d_f_eh_l_ow_ae_t_dh_ah_t_aa_p
10061.wav,b_ih_k_ao_z_sh_iy_z_ah_b_ih_g_ao_r_l_iy_n_z_b_ow_t
10062.wav,k_ah_n_s_ih_d_er_ih_ng_dh_ae_t_t_eh_r_ah_b_ah_l_ih_n_s_ah_d_ah_n_t
10063.wav,sh_iy_z_g_ao_n_w_ih_th_aw_t_ah_k_ae_p_ao_r_r_ae_p
10064.wav,ae_n_w_aa_z_s_t_ae_n_d_ih_ng_ih_n_dh_ah_g_ey_b_ah_l_r_uw_m
10065.wav,f_ae_n_s_iy_ow_l_d_jh_ao_r_jh_t_ao_k_ih_ng_ah_b_aw_t_w_er_k
10066.wav,w_ah_t_s_dh_ah_m_ae_t_er_w_ih_dh_b_ih_l_jh_uw_k_s
10067.wav,ah_n_d_ah_ng_k_ah_l_s_ay_l_ah_s_hh_iy_t_r_ah_s_t_s_eh_v_r_iy_b_aa_d_iy
10068.wav,ih_t_m_ey_d_p_iy_t_er_k_ih_k_ih_n_s_t_eh_d_ah_v_s_t_ae_b
10069.wav,ih_z_ah_n_t_dh_ae_t_ah_p_er_f_ah_k_t_l_iy_eh_l_ah_g_ah_n_t_n_ey_m
10070.wav,ay_p_uh_l_d_aw_t_m_ay_w_aa_ch_ah_n_d_t_ay_m_d_ih_t
10071.wav,t_uw_k_iy_p_k_l_ow_dh_z_ah_n_d_s_ae_n_d_w_ih_ch_ih_z_ih_n
10072.wav,w_ih_dh_f_r_eh_sh_ih_g_z_ae_jh_er_ey_sh_ah_n_z_eh_v_er_iy_t_ay_m
10073.wav,hh_iy_w_aa_z_p_r_aw_d_ah_v_hh_ih_z_s_t_r_eh_ng_k_th
10074.wav,dh_ih_s_ih_z_ah_th_er_d_iy_ey_t_y_ih_r_jh_aa_b
10075.wav,ah_n_d_dh_ah_ch_ih_m_n_iy_s_m_ow_k_ih_ng_b_y_uw_t_ah_f_l_iy
10076.wav,ah_n_d_n_ow_w_ah_n_th_ao_t_ah_v_l_uh_k_ih_ng_dh_eh_r
10077.wav,b_eh_g_d_t_uw_ae_s_k_hh_ih_m_ah_f_y_uw_k_w_eh_s_ch_ah_n_z
10078.wav,b_iy_m_ih_ng_l_iy_ah_jh_ah_s_t_ih_ng_hh_ih_z_l_ih_t_ah_l_w_ih_g
